JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
21.1;22.1;21.5;20.2;16.8;16.4;16.1;17.6;17.0;19.8;19.6;20.3
21.6;22.9;22.4;19.5;18.4;14.8;15.8;17.3;18.9;19.0;23.3;21.8
22.9;23.8;22.2;19.7;17.8;15.6;17.4;16.0;18.5;17.7;20.1;22.0
23.2;23.3;21.0;20.7;16.7;14.8;16.4;17.2;17.1;19.3;18.9;21.0
20.7;23.4;21.6;20.5;17.4;17.0;16.4;17.8;18.9;21.1;20.0;23.7
21.2;22.7;21.4;19.3;17.8;17.5;15.4;16.5;18.0;18.9;20.7;22.3
24.2;24.3;22.3;20.0;17.6;17.4;16.1;16.9;19.0;20.2;20.6;22.5
24.2;22.7;21.4;20.1;17.9;17.1;17.1;18.5;19.8;20.9;21.6;23.0
22.3;23.7;22.5;22.6;17.5;14.5;16.3;16.7;0.0;0.0;0.0;0.0
