JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
118.6;153;183.1;142.3;174.9;137.9;245;168.1;155.4;118.5;149.5;161.94
108.31;141.1;175.94;183.4;190.8;168.54;102.5;186;104.91;121.41;161.7;128.9
107;181.4;176.4;157.6;167.7;183.7;184.1;187.3;132.6;143.5;157.9;138.1
144.5;150.4;85.1;173.5;161;172.9;163.8;163.04;197.8;163.3;180.1;156.1
136.9;174.8;288.7;142.4;170.9;99.2;180.7;242.8;186;184.8;138.8;141.7
93.1;142.3;142.8;153.4;134.4;106.6;155.3;183.3;158;126.4;144.2;189.1
244.7;191.2;170.1;156.9;138.7;150.8;158.1;211.7;165.4;201.9;132.3;183.7
187;139.4;128.2;147.3;132.7;175.4;157.3;252.5;136.5;133.6;88.3;119.4
141.2;150.2;182.2;239.5;135.1;160.3;213.3;162.1;0;0;0;0
